viirs_id,latitude,longitude,brightness,resolution_along_scan,resolution_along_track,detection_confidence,fire_power,date
1,17.54442406,120.91997528,311.72564697,0.75,0.75,67,6.88432026,2023-01-31
1,17.54303169,120.91161346,312.90457153,0.75,0.75,69,7.38066578,2023-01-31
1,17.5853672,120.77947998,312.58029175,0.75,0.75,68,4.93325901,2023-01-31
1,17.61017609,120.80023193,311.77520752,0.75,0.75,58,4.43273544,2023-01-31
1,17.86821747,120.84049988,307.57391357,0.75,0.75,52,4.80340242,2023-01-31
1,18.03985023,120.87489319,306.48925781,0.75,0.75,47,4.84602165,2023-01-31
1,3.0642204299999998,98.21405029,307.01907349,0.75,0.75,0,5.48015976,2023-01-31
1,10.50041199,106.21956635,336.17752075,0.75,0.75,89,39.17095566,2023-01-31
1,10.66606903,106.67325592,315.25741577,0.75,0.75,71,12.50970173,2023-01-31
1,10.85457325,107.75331879,308.7097168,0.75,0.75,55,3.3208549,2023-01-31
1,10.90658283,107.56380463,312.25445557,0.75,0.75,64,12.02961063,2023-01-31
1,11.03856659,108.02868652,319.58218384,0.75,0.75,57,10.771541599999999,2023-01-31
1,11.03970337,108.02619171,313.82217407,0.75,0.75,57,7.40392399,2023-01-31
1,11.01271152,106.95267487,310.96707153,0.75,0.75,48,9.1706419,2023-01-31
1,11.01132107,106.94230652,329.1585083,0.75,0.75,64,34.51355362,2023-01-31
1,11.01186371,106.94606018,333.93173218,0.75,0.75,88,42.26186752,2023-01-31
1,11.23526192,108.66759491,313.32623291,0.75,0.75,69,6.83515835,2023-01-31
1,11.16192627,108.06747437,315.99905396,0.75,0.75,67,8.61768246,2023-01-31
1,10.58970165,103.57518005,311.05166626,0.75,0.75,60,4.9577775,2023-01-31
1,10.73427963,103.89968109,312.96011353,0.75,0.75,59,8.03456211,2023-01-31
1,10.748474120000001,103.88774109,311.95950317,0.75,0.75,56,6.36235571,2023-01-31
1,10.84503555,104.35141754,310.59588623,0.75,0.75,58,5.15523815,2023-01-31
1,11.24420357,107.23436737,306.84030151,0.75,0.75,0,5.50022888,2023-01-31
1,10.75749302,103.2339325,308.52157593,0.75,0.75,52,5.69907141,2023-01-31
1,10.9667263,104.39266205,311.31997681,0.75,0.75,63,4.58782673,2023-01-31
1,10.99786663,104.49771118,316.8885498,0.75,0.75,55,8.50401306,2023-01-31
1,10.99781513,104.49682617,316.48886108,0.75,0.75,54,9.00355339,2023-01-31
1,10.98887444,104.18765259,330.44946289,0.75,0.75,85,29.21022797,2023-01-31
1,10.999959950000001,103.80673218,317.64889526,0.75,0.75,73,9.69399929,2023-01-31
1,11.00537872,103.80825043,316.16082764,0.75,0.75,70,7.91315842,2023-01-31
1,10.97211933,103.33690643,316.41525269,0.75,0.75,71,9.80136585,2023-01-31
1,11.05318451,103.42012787,310.35479736,0.75,0.75,45,5.45830917,2023-01-31
1,11.18502998,104.29647064,311.08081055,0.75,0.75,39,4.18074083,2023-01-31
1,10.37601662,98.76143646,316.61965942,0.75,0.75,75,7.9661908100000005,2023-01-31
1,11.04395771,103.30055237,319.51535034,0.75,0.75,75,11.74022675,2023-01-31
1,11.18623447,104.29611206,311.74368286,0.75,0.75,48,4.81051254,2023-01-31
1,11.54901695,106.5148468,310.603302,0.75,0.75,50,6.93956232,2023-01-31
1,11.55837727,106.51361084,314.2437439,0.75,0.75,69,10.78427601,2023-01-31
1,11.14803028,103.27622223,307.68798828,0.75,0.75,49,4.60403538,2023-01-31
1,11.14866161,103.2776413,306.79492188,0.75,0.75,36,3.79888105,2023-01-31
1,11.68083286,106.7793808,312.50628662,0.75,0.75,65,9.31199074,2023-01-31
1,11.32812786,103.72763824,315.39535522,0.75,0.75,70,9.71244144,2023-01-31
1,11.33287811,103.72870636,316.64059448,0.75,0.75,72,10.90884686,2023-01-31
1,11.33154964,103.71887207,348.88092041,0.75,0.75,95,59.50640488,2023-01-31
1,11.31441116,103.25544739,332.88052368,0.75,0.75,87,28.90339661,2023-01-31
1,11.65057755,105.66017914,314.13751221,0.75,0.75,66,5.40529156,2023-01-31
1,11.35531235,103.16532898,312.25689697,0.75,0.75,65,5.28496313,2023-01-31
1,11.36498356,103.17462158,320.33291626,0.75,0.75,76,13.12461758,2023-01-31
1,11.36371994,103.16545105,315.14678955,0.75,0.75,65,8.4218502,2023-01-31
1,11.6935358,105.37595367,313.20953369,0.75,0.75,62,5.28906918,2023-01-31
1,11.72124863,105.51917267,317.98583984,0.75,0.75,71,8.28308296,2023-01-31
1,11.477561,103.71043396,331.70602417,0.75,0.75,86,28.27935028,2023-01-31
1,11.58241081,104.29679871,322.9798584,0.75,0.75,79,11.78640366,2023-01-31
1,11.5344038,103.83388519,311.22268677,0.75,0.75,61,6.96733046,2023-01-31
1,11.53812027,103.77519989,309.57144165,0.75,0.75,47,5.50198317,2023-01-31
1,11.57527065,103.9332428,349.98535156,0.75,0.75,95,64.77257538,2023-01-31
1,11.93445206,106.41233826,310.69674683,0.75,0.75,57,5.49054241,2023-01-31
1,11.85604668,105.52832031,313.70046997,0.75,0.75,63,8.45613003,2023-01-31
1,12.03125,106.48306274,339.75692749,0.75,0.75,90,48.45991516,2023-01-31
1,11.7357254,104.14633179,313.5788269,0.75,0.75,61,7.4052,2023-01-31
1,11.79863453,103.93746185,311.45953369,0.75,0.75,56,7.42552423,2023-01-31
1,11.74658489,103.38036346,325.09103394,0.75,0.75,81,20.45295715,2023-01-31
1,11.89935684,104.44345093,324.90719604,0.75,0.75,81,13.69703102,2023-01-31
1,11.86236191,104.10938263,316.04141235,0.75,0.75,70,9.57079601,2023-01-31
1,12.23682213,106.80620575,318.02020264,0.75,0.75,64,11.61818218,2023-01-31
1,12.31935787,107.21635437,310.45385742,0.75,0.75,46,13.54292583,2023-01-31
1,11.93081951,104.24492645,308.87246704,0.75,0.75,32,3.6331305499999997,2023-01-31
1,11.92987823,104.23782349,311.21755981,0.75,0.75,41,5.2421608,2023-01-31
1,12.31428242,107.20879364,314.60177612,0.75,0.75,65,17.75979042,2023-01-31
1,12.21929264,106.28063965,315.35125732,0.75,0.75,68,8.54777431,2023-01-31
1,11.77889919,102.94477844,308.00250244,0.75,0.75,35,4.74444008,2023-01-31
1,11.77767181,102.93593597,315.47827148,0.75,0.75,73,9.76050377,2023-01-31
1,12.27696037,106.66410065,323.24508667,0.75,0.75,72,16.90731239,2023-01-31
1,12.24416065,106.3276062,318.49066162,0.75,0.75,73,10.53472424,2023-01-31
1,12.32343483,106.64782715,317.8218689,0.75,0.75,60,12.839582440000001,2023-01-31
1,11.9889183,104.12856293,313.91195679,0.75,0.75,70,7.0930934,2023-01-31
1,12.3196373,106.54337311,316.78311157,0.75,0.75,71,8.91904354,2023-01-31
1,12.35210991,106.64437103,317.08358765,0.75,0.75,71,12.75217628,2023-01-31
1,12.00466537,104.00704956,314.32702637,0.75,0.75,71,10.60998154,2023-01-31
1,12.35022831,106.71051788,314.75845337,0.75,0.75,41,8.98316288,2023-01-31
1,12.0068121,104.00911713,308.25500488,0.75,0.75,50,5.78442335,2023-01-31
1,12.00546455,103.99891663,310.98440552,0.75,0.75,67,7.63877583,2023-01-31
1,12.35212517,106.64650726,317.20947266,0.75,0.75,70,11.53854752,2023-01-31
1,11.85714626,102.8427887,316.56335449,0.75,0.75,30,8.68155289,2023-01-31
1,11.86455727,102.84173584,314.95565796,0.75,0.75,22,7.41422033,2023-01-31
1,12.08808994,104.31192017,327.15774536,0.75,0.75,83,17.57039642,2023-01-31
1,12.0870657,104.30427551,314.98779297,0.75,0.75,62,8.16411495,2023-01-31
1,12.5054245,107.40422058,306.62557983,0.75,0.75,32,3.66058564,2023-01-31
1,12.40712738,106.17866516,319.36700439,0.75,0.75,56,10.37503052,2023-01-31
1,12.12425423,104.09511566,306.79949951,0.75,0.75,43,3.47153115,2023-01-31
1,12.41113186,106.18127441,315.49459839,0.75,0.75,51,5.4884509999999995,2023-01-31
1,12.28220463,105.1651001,317.45294189,0.75,0.75,73,9.06601238,2023-01-31
1,12.01683044,103.16487885,319.08331299,0.75,0.75,78,15.38860703,2023-01-31
1,12.42965031,106.17882538,317.81433105,0.75,0.75,72,8.38491535,2023-01-31
1,11.50868225,99.53598785,314.46795654,0.75,0.75,71,5.53092194,2023-01-31
1,12.48568249,106.3216095,328.91079712,0.75,0.75,83,22.39535713,2023-01-31
1,12.1742115,103.85295868,309.10665894,0.75,0.75,65,7.95885324,2023-01-31
1,12.66654491,107.50892639,310.85009766,0.75,0.75,62,6.37591553,2023-01-31
1,12.66578388,107.5029068,309.01629639,0.75,0.75,57,5.25436687,2023-01-31
1,12.64979839,107.29614258,310.02325439,0.75,0.75,47,6.57787371,2023-01-31
1,12.669120790000001,107.50588989,314.54043579,0.75,0.75,52,8.64279079,2023-01-31
1,12.07114029,102.77754974,309.96844482,0.75,0.75,66,6.48996067,2023-01-31
1,12.67196846,107.10920715,312.40325928,0.75,0.75,63,11.699193,2023-01-31
1,12.64847088,106.91989899,311.0255127,0.75,0.75,32,7.13944674,2023-01-31
1,12.66662693,106.90638733,314.43362427,0.75,0.75,64,10.40083885,2023-01-31
1,12.76004887,107.4890213,313.58276367,0.75,0.75,61,7.72151136,2023-01-31
1,12.68062496,106.86044312,330.63040161,0.75,0.75,84,35.75701141,2023-01-31
1,12.67922974,106.84949493,317.25878906,0.75,0.75,64,14.6191721,2023-01-31
1,12.77023888,107.4879303,325.76925659,0.75,0.75,81,17.36351204,2023-01-31
1,12.76943779,107.48155212,314.3661499,0.75,0.75,50,8.14210224,2023-01-31
1,12.13901806,102.77700806,311.48892212,0.75,0.75,61,6.92466545,2023-01-31
1,12.21067905,103.12096405,309.40582275,0.75,0.75,55,4.82635832,2023-01-31
1,12.68887424,106.86262512,319.67126465,0.75,0.75,56,19.08406639,2023-01-31
1,12.68756008,106.85169983,324.75912476,0.75,0.75,60,26.34939575,2023-01-31
1,12.33571243,104.05776978,303.08676147,0.75,0.75,35,2.62684989,2023-01-31
1,12.21090317,103.12262726,309.40136719,0.75,0.75,47,4.67144871,2023-01-31
1,12.23990154,103.22235107,306.3961792,0.75,0.75,56,5.90633726,2023-01-31
1,12.71144104,106.80447388,311.11975098,0.75,0.75,58,8.42629242,2023-01-31
1,12.23744488,103.14768219,308.68014526,0.75,0.75,59,4.96192598,2023-01-31
1,12.22708321,103.01602173,307.58932495,0.75,0.75,24,3.90500879,2023-01-31
1,12.73488617,106.83459473,309.67364502,0.75,0.75,44,4.9797782900000005,2023-01-31
1,12.68750668,106.45417023,313.30923462,0.75,0.75,64,5.53842449,2023-01-31
1,12.24997234,103.12650299,309.13626099,0.75,0.75,40,4.45437145,2023-01-31
1,12.24867153,103.11704254,340.91854858,0.75,0.75,92,39.94101715,2023-01-31
1,12.20178223,102.77804565,341.92886353,0.75,0.75,92,38.74151993,2023-01-31
